,Unnamed: 0,id,date,from_id,to_id,fwd_from,message
0,0,94710,2020-08-10 14:33:24+00:00,347963763,511986933,,
1,1,94692,2020-08-10 14:04:51+00:00,511986933,347963763,,Из перевода
2,2,94691,2020-08-10 14:04:47+00:00,511986933,347963763,,Тоесть мне нужно перевести странички terms саппорт и policy Это все 
3,3,94690,2020-08-10 14:00:56+00:00,347963763,511986933,,
4,4,94689,2020-08-10 13:59:39+00:00,347963763,511986933,,Без проблем 
5,5,94688,2020-08-10 13:59:14+00:00,511986933,347963763,,Ты напиши когда ты сделаешь странички с разными языками чтобы я на их сапорт слал
6,6,94687,2020-08-10 13:58:52+00:00,511986933,347963763,,Да идея хорошая Тогда буду делать Только получиться сделать где то послезавтра вечером полностю
7,7,94686,2020-08-10 13:58:07+00:00,347963763,511986933,,Как думаешь 
8,8,94684,2020-08-10 13:55:06+00:00,347963763,511986933,,
9,9,94683,2020-08-10 13:51:54+00:00,347963763,511986933,,да все правильно 
10,10,94681,2020-08-10 12:29:37+00:00,511986933,347963763,,Правильно я понял 
11,11,94680,2020-08-10 12:29:27+00:00,511986933,347963763,,Или подумай как эту фичу делать 
12,12,94679,2020-08-10 12:29:12+00:00,511986933,347963763,,
13,13,94678,2020-08-10 12:28:19+00:00,511986933,347963763,,
14,14,94674,2020-08-10 11:23:15+00:00,347963763,511986933,,Как думаешь 
15,15,94673,2020-08-10 11:23:01+00:00,347963763,511986933,,
16,16,94672,2020-08-10 11:16:01+00:00,347963763,511986933,,Он себя вот так описывал Антон 18 годиков я безработный сыч живущий на деньги матери Ищу стартапы где смогу получить опыт работы с языком Python а в перспективе стать кофаундером и фигачить красивые нейроночки одним пальцем левой ноги попивая кофе в картонной коробке на вокзале Парень ексцентричный и больше заинтересован в ИИ он мне уже писал но я его могу попросить пока получить опыт в разработке ботов работе с БД и в команде 
17,17,94670,2020-08-10 11:12:23+00:00,347963763,511986933,,Круто Спасибо большое 
18,18,94669,2020-08-10 11:12:04+00:00,347963763,511986933,,Вы учитесь парсить телеграм переписки или хотите найти конкретные данные для обучения какой то модели 
19,19,94668,2020-08-10 11:10:43+00:00,347963763,511986933,,Спасибо Я делаю треки в FL Studio 20
20,20,94659,2020-08-10 08:00:02+00:00,511986933,347963763,,Кто он 
21,21,94658,2020-08-10 08:00:00+00:00,511986933,347963763,,И можешь описать того парня что тебе написал
22,22,94657,2020-08-10 07:59:29+00:00,511986933,347963763,,Что за баги ты нашел 
23,23,94656,2020-08-10 07:59:04+00:00,511986933,347963763,,Очень крутой
24,24,94655,2020-08-10 07:58:59+00:00,511986933,347963763,,Здесь много книг и научных статей
25,25,94654,2020-08-10 07:58:28+00:00,511986933,347963763,,Кстати нам препод посоветовал этот пиратский сайт
26,26,94653,2020-08-10 07:58:15+00:00,511986933,347963763,,libgen.is
27,27,94652,2020-08-10 07:58:09+00:00,511986933,347963763,,Так сказать знакомимся поближе с даными
28,28,94651,2020-08-10 07:57:55+00:00,511986933,347963763,,Сейчас ещем что можно ценного нарить
29,29,94650,2020-08-10 07:57:44+00:00,511986933,347963763,,Груповые переписки и некоторые свои переписки
30,30,94649,2020-08-10 07:56:54+00:00,511986933,347963763,,А где ты это делал 
31,31,94648,2020-08-10 07:56:49+00:00,511986933,347963763,,Ох йой Ну ты молодец Очень круто 
32,32,94647,2020-08-10 06:57:01+00:00,347963763,511986933,,И какие данные из телеграмма анализируешь 
33,33,94646,2020-08-10 06:56:33+00:00,347963763,511986933,,Какие у вас лабораторные У нас просто тоже с сентября начнется курс по системному программированию поэтому очень интересно посмотреть что в УКУ преподают 
34,34,94645,2020-08-10 06:16:22+00:00,347963763,511986933,,И вот еще я трек новый выпустил soundcloud.com
35,35,94644,2020-08-10 06:15:05+00:00,347963763,511986933,,Супер Я тестировал с 4 пользователями из нашей ЦА бота и нашел несколько штук которые надо поправить Глеб справляется или лучше добавить еще одного парня Просто мне недавно один написал Я могу ему предложить 
36,36,94643,2020-08-10 06:12:06+00:00,347963763,511986933,,Да мне осталось 2 больших раздела из 6 заполнить и будем подавать заявку После подачи USF заявки я займусь сервером
37,37,94642,2020-08-10 06:11:23+00:00,347963763,511986933,,Еще нет Я занимался подачей документов на 6 онлайн конкурсов Также мы подали заявку на международный патент и написали с юристами настоящий Upload Terms и уже перешли к Terms of Use Ну и с маркетологом я общаюсь передаю ему соц сети чтобы он их подготавливал 
38,38,94606,2020-08-09 19:41:40+00:00,511986933,347963763,,глеб задать да потихонька проверить
39,39,94605,2020-08-09 19:41:24+00:00,511986933,347963763,,фонд стартап
40,40,94604,2020-08-09 19:40:59+00:00,511986933,347963763,,сервер перенести
41,41,94603,2020-08-09 19:40:46+00:00,511986933,347963763,,занимаеш
42,42,94602,2020-08-09 19:40:38+00:00,511986933,347963763,,привет назар отличн лабораторн дело анализира дать телеграм
43,43,94548,2020-08-09 10:11:07+00:00,347963763,511986933,,дело занимый
44,44,94547,2020-08-09 10:09:40+00:00,347963763,511986933,,привет
45,45,93731,2020-08-04 10:15:20+00:00,347963763,511986933,,
46,46,93696,2020-08-04 09:51:10+00:00,511986933,347963763,,найта мочь
47,47,93695,2020-08-04 09:50:59+00:00,511986933,347963763,,делать
48,48,93694,2020-08-04 09:50:51+00:00,511986933,347963763,,можеш скинуть сылк задать
49,49,93596,2020-08-04 08:08:46+00:00,511986933,347963763,,ок док
